ingredient,term,factor,origin
anchovies, piece, 4.0
alfalfa sprouts, tablespoon, 2.0
almonds, tablespoon, 7.0 ,https://coolconversion.com/cooking-volume-weight/1~tsp~of~ground+almonds~to~gram
almonds, teaspoon, 2.3,
apple,cup,110.0,
apple,piece,10.0,
apple,tablespoon,9.0,
pear,tablespoon,9.0,
apple,teaspoon,3.0,
arugula leaves,handful,20.0,
arugula,cup,55.0,
arugula,teaspoon,5.0,
arugula,handful,20.0,
artichoke, piece, 10.0
asparagus, cup, 134.0,
asparagus, piece, 12.0,
avocado, tablespoon, 10.0
avocado, piece, 20.0
avocado, cup, 236.0
bamboo shoots, cup, 127.0,
bacon bits, tablespoon, 15.0,
bacon, piece, 5.0,
bacon, tablespoon, 15.0,
bacon, teaspoon, 5.0,
baked potatoes, piece, 30.0,
basil leaf,1, 1.0,
basil leaves, cup, 25.0,
basil leaves, piece, 1
basil, leaf, 1.0,
basil, leaves, 1.0,
basil, tablespoon, 9.0,
basil, teaspoon, 3.0,
beans, cup, 75.0,https://www.cookitsimply.com/measurements/cups/beans/
beans, handful, 60.0,
beans,piece,6.0,
beans,tablespoon,15.0,
beans in tomato salsa,tablespoon,15.0,
beans,teaspoon,5.0,
beef strips, tablespoon, 15.0,
beef,cup,160.0,
beef,piece,30.0,
beef,tablespoon,15.0,
beef,teaspoon,5.0,
beetroot, tablespoon, 9.0,
orange bell pepper, cup, 175.0,
avocado_tomato_rolls,1,150.0,
dinner roll,1,15.0,
dinner roll,piece,150.0,
Spring Rolls, 1, 50.0,
spring rolls, piece, 52.0,
summer roll, piece, 52.0,
yellow bell peppers, cup, 175.0,
yellow bell pepper, cup, 175.0,
red bell pepper, cup, 175.0,
bell peppers, cup, 175.0,
bell pepper, cup, 175.0,
green bell pepper, cup, 175.0,
pesto, tablespoon, 15.0,
pesto sauce,tablespoon, 15.0,
yellow bell peppers, tablespoon, 15.0,
yellow bell pepper, tablespoon, 15.0,
green bell pepper, tablespoon, 15.0,
red bell pepper, tablespoon, 15.0,
bell peppers, tablespoon, 15.0,
bell pepper, tablespoon, 15.0,
black beans, tablespoon, 15.0,
black olive, piece, 4.0,
bok choy, cup, 170.0
bok choy, tablespoon, 15.0
bread,slice, 30.0
bread,1, 30.0
bread,cup,150.0,
bread,handful,15.0,
bread,piece,30.0,
bread_piece, tablespoon, 5.0,
dumpling, piece, 16.0,
spinach filled dumplings, piece, 16.0,
dumplings, piece, 16.0,
fish, tablespoon, 19.0,
tuna, teaspoon, 5.0,
fried item, piece, 2.0,
french_fry, piece, 2.0,
turnips, cup, 136.0,
salmon, piece, 10.0,
breaded fish, piece, 10.0,
breaded chicken, piece, 10.0,
duck, piece, 10.0,
schnitzel, piece, 21.0,
breaded chicken fillet, piece, 50.0,
breaded fish fillets, piece, 50.0,
broccoli floret,1, 10.0,
broccoli,cup,91.0,
broccoli,floret,10.0,
broccoli,handful,45.0,
broccoli,piece,20.0,
broccoli,tablespoon,6.0,
broccoli,teaspoon,2.0,
broccolini, 1, 10.0
broccolini,handful,45.0,
broth,cup,240.0,
broth,tablespoon, 12.0
broth remnants,tablespoon, 12.0
brussels sprouts, cup, 156.0,
brussels sprouts, piece, 15.0,
bulgur,cup,153.0,
sandwich, piece, 10.0,
sub, slice, 30.0,
sub, teaspoon, 3.0,
toasted sandwich, piece, 30.0,
bun, piece, 8.0,
sub, piece, 8.0,
burger bun, piece, 8.0,
burger patty, piece, 5.0,assuming one burger patty
patty, piece, 8.0, assuming small remains
beef patty, piece, 8.0, assuming small remains
burger,1,18.0,
burger,piece,18.0,
vegetarian mince, cup, 145.0,
minced meat, cup, 145.0,
vegetarian strips, cup, 145.0,
mince, cup, 145.0,
mince, tablespoon, 9.0,
fish burger,piece,18.0,
burnt edges, piece, 1.0,
burrito, piece,6.0,
butter, tablespoon, 14.0, 
butter,teaspoon,5.0,https://www.omnicalculator.com/conversion/tbsp-to-grams
butternut squash, cup, 205.0,
butternut squash, tablespoon, 25.0,
cabbage,cup,89.0,
cabbage,handful,35.0, take half the weight of cup for handful
cabbage,piece,70.0,
cabbage,tablespoon,8.0,
cabbage,teaspoon,3.0,
capers, teaspoon, 9.0,
carrot pieces, 1, 10.0
carrot remnants,piece,10.0,
carrot slices, 1,2.0
carrot slices, cup,130.0
carrot slices, piece, 2.0
carrot sticks, 1, 10.0
carrot strips, 1, 2.0
carrot strips, tablespoon, 8.0
carrot,cup,130.0,
carrot,handful,65.0,
carrot,piece,10.0,
carrot,tablespoon,8.0,
carrot,teaspoon,2.5,
cashew, 1, 5.0,
cauliflower,cup,91.0,
cauliflower, teaspoon, 3.0,
cauliflower,piece,31.0,
celeriac mash, cup, 163.0,
celery, cup, 155.0,
celery, tablespoon, 10.0,
cereals,cup,128.0,
charred bits, tablespoon, 5.0,
cheese,cup,128.0,
halloumi,cup,128.0,
cheese,handful,64.0,
cheese,piece,21.0,
cheese,slice,18.0,
parsnip, piece, 5.0,
cheese,tablespoon,15.0,
parmesan cheese,tablespoon,15.0,
parmesan,tablespoon,15.0,
grana padano,tablespoon,15.0,
emmental,tablespoon,15.0,
cheese,teaspoon,6.0,https://your-calories.net/shredded-cheese-3-serving-size
cheese remnants,teaspoon,6.0,
cherry tomato, 1, 15.0,
cherry tomatoes, 1, 15.0,
cherry tomatoes, halves, 7.5,
fried chicken pieces, 1,50.0,
chicken pieces, 1, 30.0,
chicken pieces,cup,160.0,
pulled duck,cup,160.0,
chicken,cup,160.0,
chicken,handful,80.0,
Fried Chicken Strip, 1, 80.0
chicken,piece,30.0,
chicken,tablespoon,15.0,
chicken parm remnants,tablespoon,15.0,
chicken,teaspoon,5.0,
chili con carne, cup, 183.0,
chili,tablespoon,15.0,
chili,teaspoon,2.0,
chili remnants,tablespoon,15.0,
chives, tablespoon, 3.0,
chives, teaspoon, 1.0,
chopped chives, tablespoon, 3.0,
chopped green herbs, teaspoon, 1.0,
cilantro, cup, 17.0,
cilantro, leaf, 1.0,
cilantro, piece, 1.0,
chicory, piece, 1.0,
cilantro, sprigs, 40.0,
cilantro, tablespoon, 9.0,
cilantro, teaspoon, 3.0,
chimichurri, teaspoon, 5.0,
chips, handful, 40.0,
chips, cup, 96,
nachos, cup, 96,
chips, piece, 1.0,
chorizo, cup, 148.0,
coating,*,0.0,
coleslaw, cup, 110.0,
coleslaw, tablespoon, 18.0,
slaw, tablespoon, 18.0,
coleslaw, teaspoon, 5.0,
cooked chicken, gram, 1.0,
cooked fish or chicken pieces,cup,160.0,
barramundi,cup,160.0,
cooked lentils, cup, 200.0,
mashed potato, teaspoon, 2.0,
mashed potatoes, tablespoon, 14.5,
mashed potatoes with herbs, cup, 241.0,
cooked potatoes, grams, 1.0,
cooked rice, cup, 180.0,
corn,cups,166.0,
corn,cup,166.0,
beetroot, piece, 82.0,
corn,piece,120.0,
corn,tablespoon,15.0,
corn,teaspoon,5.0,
couscous,cup,153.0,
couscous,tablespoon,15.0,
crab sticks, cup, 180.0
imitation crab, tablespoon, 11.0,
cream sauce, tablespoon, 14.0,
mushroom cream sauce, tablespoon, 14.0,
cream, tablespoon, 14.0,
cream, teaspoon, 4.0,
sour cream,cup,240.0,
creamy sauce,cup,240.0,
creamy sauce, tablespoon, 14.0,
creamy, tablespoon, 14.0,
creamy, teaspoon, 4.0,
crouton, piece, 3.0,
croutons, cup, 40.0,
croutons, tablespoon, 4.0,
crumb,tablespoon,14.0,
crumb,teaspoon,5.0,
crumbles, teaspoon, 3.0,
crumbs,tablespoon,14.0,
crust, piece, 5.0,
cucumber slices, 1, 7.0,
cucumber slices,cup,104.0,
cucumber, grams, 1.0,
cucumber,cup,104.0,
cucumber,piece,10.0,
cucumber,slice,7.0,
cucumber,tablespoon,8.0,
cucumber,teaspoon,3.0,
curry,cup,271.0,
dip,cup,259.0,
dip,tablespoon,15.0,
dip,teaspoon,5.0,
dressing,cup,259.0,
dressing,tablespoon,15.0,
dressing,teaspoon,5.0,
edamame, piece, 5.0
edamame, cup, 156.0
egg,1,50.0,
egg,cup,243.0,
egg salad,cup,243.0,
egg,piece,50.0,
egg,tablespoon,14.0,
egg,teaspoon,5.0,
eggplant,cup,82.0,
eggplant,piece,58.0,
eggplant,slice,55.0,
eggplant,slices,55.0,
eggplant,tablespoon,7.0,
eggplant,teaspoon,2.0,
enchilada, piece, 30.0,
feta,tablespoon,15.0,
fish, cup, 175.0,
fish, piece, 30.0,
fresh greens, grams, 1.0,
French Fries,1,30.0
fries, handful, 25.0,
fries, tablespoon, 4.0,
fries,cup,153.0,
fries,piece,3.0,
fruit,cup,130.0,
garlic, cloves,6.0,
garlic, tablespoon,14.0,
garlic bread, slice,59.0,
garlic, clove,6.0,
garlic, teaspoon,3.0,
pickled ginger, piece, 5.0,
pickled ginger, tablespoon, 15.0,
ginger, tablespoon, 15.0,
ginger, piece, 5.0,
gnocchi, cup, 132.0,
grains, cup, 125.0,
grains, tablespoon, 12.0,
gravy, cup, 177.0,
rice and gravy, cup, 177.0,
gravy, tablespoon, 21.0,
gravy remnants, teaspoon, 7.0,
rosemary jus, teaspoon, 7.0,
pickle, piece, 65.0,
pickle pieces, pieces,5.0, assuming small parts
gravy, teaspoon, 7.0,
grease, teaspoon, 7.0,
green chili,teaspoon,2.0,
green garnish, tablespoon, 13.0,
green herb, piece, 1.0,
green herbs, tablespoon, 8.0,
green herbs, teaspoon, 1.0,
green leaves,tablespoon,3.0,
greens, cup, 75.0,
greens, handful, 37.5,
greens, tablespoon, 15.0,
leafy greens, piece, 5.0,
greens, teaspoon, 5.0,
grilled chicken pieces,cup,160.0,
ham, cup, 142.0,
salami, slice, 9.0,
salami, piece, 9.0,
ham, slice, 9.0,
ham, piece, 9.0,
ham, teaspoon,8.0,
ham, tablespoon,14.0,
herb pieces,a few,0.0,
herb sauce,tablespoon,15.0,
herb, leaf, 1.0,
herb, teaspoon, 1.0,
herbs, cup, 25.0,
fennel, cup, 25.0,
herbs, handful, 25.0,
herbs, tablespoon, 8.0,
herbs, teaspoon, 1.0,
herbs, trace amounts,0.0,
jalapeño slices, 1, 1.0,
jalapeno slices, 1, 1.0,
jalapeno, piece, 3.0,
jam, tablespoon, 15.0,
jalapeno, slice, 1.0,
kale,cup,89.0,
kale,handful,35.0, take half the weight of cup for handful
"kale_leaves, piece, 8.0;"
kale,piece,7.0,
kale,tablespoon,8.0,
kale,teaspoon,3.0,
kebab, piece, 43.0,
ketchup,1,10.0,
ketchup,tablespoon,17.0,
ketchup,teaspoon,5.0,
lamb,cup,160.0,
lamb,piece,30.0,
lamb,tablespoon,15.0,
lamb,teaspoon,5.0,
lasagna, piece, 123.0,
leek, cup, 94.0,
leek, tablespoon, 5.64,
lemon wedge,1,10.0,
lemon wedge,piece,10.0,
lemon wedges, gram, 1.0, is 20 grams
lemon wedges,1,10.0,
lemon wedges,piece,10.0,
lemon, wedge,10.0,
lemon,cup,90.0,
lemon,piece,11.6, assume 1/5 of full lemon which is 58
lemon,slice,10.0,
lemon,tablespoon,8.0,
lemon,teaspoon,2.0,
lentils, cup, 210.0,
lettuce, grams, 1.0,
lettuce,cup,55.0,
lettuce,handful,100.0,
lettuce, leaves, 8.0,
lettuce,leaf,8.0,
leafy greens,leaves,8.0,
lettuce,piece,28.0,
lettuce,tablespoon,5.0,
lettuce,teaspoon,1.5,
lime wedge, 1, 8.2,
lime wedge, piece, 8.2,
lime wedge,slice, 8.2, 
lime wedges, 1, 8.2,
lime wedges, piece, 8.2,
lime, wedge,  8.2,
lime,cup,90.0,
lime,piece, 8.2, assume 1/5 of full lime which is 44 
lime,slice, 8.2, 
lime,tablespoon,8.0,
lime,teaspoon,2.0,
liquid, tablespoon, 15.0,
mayonnaise, tablespoon, 14.0,
meat pieces,1,30.0,
escalope,piece,30.0,
meat pieces,cup, 160.0,
meat pieces,tablespoon, 15.0,
meat remnants,piece,30.0,
meat,cup,160.0,
meat,slice,30.0,
meat,piece,30.0,
skewers,piece,30.0, looked at picture pieces of meat from skewer
meat,tablespoon,15.0,
meat,teaspoon,5.0,
meatball, 1, 113.0,
meatball,cup,150.0,
meatballs,piece,25.0,
meatball,piece,25.0,
meatball,tablespoon,10.0,
meatball,teaspoon,3.0,
meatballs, 1, 113.0,
melted cheese,cup,128.0,
mushroom,cup,70.0,
mushroom,piece,18.0,
mushroom,tablespoon,5.0,
enoki mushrooms, handful, 30.0,
falafel, piece, 17.0,
falafal, piece, 17.0,
mushroom,teaspoon,2.0,
naan bread,piece,30.0,
roti,piece,30.0,
ciabatta roll,piece,30.0,
naan,piece,30.0,
noodle,cup,221.0,
noodle,piece,5.0,
noodle,tablespoon,14.0,
noodle,teaspoon,5.0,
nuts,cup,120.0,
nuts,piece,5.0,
nuts,tablespoon,10.0,
nuts,teaspoon,3.0,
oil, tablespoon, 13.5,
oil, teaspoon, 4.5,
oil,cup,240.0,
olives, piece, 4.0,
olives, tablespoon, 8.0
Onion Rings,1,30.0
onion,cup,160.0,
shallot,cup,160.0,
onion,strip,7.0,
onion,slice,7.0,
onion,piece,7.0,
onion,tablespoon,10.0,
onion,teaspoon,3.0,
orzo,cup,200.0,
orzo,tablespoon,12.5,
paneer,piece,21.0,
parsley, cup, 17.0,
parsley, handful, 30.0,
parsley, sprig, 3.0,
parsley, leaf, 1.0,
parsley, piece, 1.0,
parsley, tablespoon, 9.0,
parsley, teaspoon, 3.0,
particle,*,0.0,
pasta,cup,200.0, assumed to be cooked
spätzle,cup,200.0,
macaroni,cup,200.0,
tagliatelle,cup,200.0,
farfalle,cup,200.0,
rigatoni,cup,200.0,
pasta,handful,85.0,
pasta,piece,5.0,
rigatoni,piece,5.0,
gnocchi,piece,6.0,
pasta,tablespoon,12.5,
pasta remnants,tablespoon,12.5,
pasta,teaspoon,2.0,
peas,cup,160.0,
peas,piece,5.0,
peas,tablespoon,10.0,
peas,teaspoon,3.0,
pepper,cup,149.0,
pepper,piece,9.0, assume 1/5 of full pepper which is 45
pepper,slice,3.0, 
pepper,tablespoon,9.0,
pepper,teaspoon,3.0,
pickle slice,piece, 7.0,
pickles, piece, 7.0,
pickles, tablespoon, 10.0,
pizza crust, piece, 5.0, based on a pizza 10 inch that weighs 160 one out of 8 pieces and 1/4 of that piece being crust
pizza, slices, 130.0,
pizza slices, 1, 130.0,
pizza piece, 1, 13.0,
pizza slice, 1, 130.0,
pizza, slice, 130.0,
polenta, cup, 160.0,
pork,cup,160.0,
pork,piece,30.0,
smothered pork chop,piece,30.0,
roast pork with pepper sauce,piece,30.0,
cross rib roast,piece,30.0,
pork,tablespoon,15.0,
