"PromptType","rMax","Prompt","m","mpred","r","Mpred","Mcor","SD","PromptMax"
"Point",0.845307113414279,"Point 3",132.752688172043,92.5376344086021,0.84035921638519,120.89605734767,0.821441693376217,40.8709745485794,"Point 4"
"Point",0.845307113414279,"Point 4",132.752688172043,92.5268817204301,0.845307113414279,120.89605734767,0.821441693376217,40.8709745485794,"Point 4"
"Point",0.845307113414279,"Point",132.752688172043,91.5591397849462,0.836779207422407,120.89605734767,0.821441693376217,40.8709745485794,"Point 4"
"Point",0.845307113414279,"Point 2",132.752688172043,92.9462365591398,0.825426589092997,120.89605734767,0.821441693376217,40.8709745485794,"Point 4"
"Point",0.845307113414279,"Point 5",132.752688172043,92.8387096774194,0.839439500343664,120.89605734767,0.821441693376217,40.8709745485794,"Point 4"
"Range",0.844709117779486,"Range 4",132.752688172043,95.6344086021505,0.828089871318768,120.89605734767,0.821441693376217,40.8709745485794,"Range 2"
"Range",0.844709117779486,"Range",132.752688172043,90.4301075268817,0.839372846972583,120.89605734767,0.821441693376217,40.8709745485794,"Range 2"
"Range",0.844709117779486,"Range 3",132.752688172043,93.5591397849462,0.839094863695359,120.89605734767,0.821441693376217,40.8709745485794,"Range 2"
"Range",0.844709117779486,"Range 5",132.752688172043,93.7741935483871,0.837283064367671,120.89605734767,0.821441693376217,40.8709745485794,"Range 2"
"Range",0.844709117779486,"Range 2",132.752688172043,94.1720430107527,0.844709117779486,120.89605734767,0.821441693376217,40.8709745485794,"Range 2"
"Spoons",0.804555978901947,"Spoons",132.752688172043,174.561290322581,0.804555978901947,120.89605734767,0.821441693376217,40.8709745485794,"Spoons"
"Spoons",0.804555978901947,"Spoons 4",132.752688172043,176.55188172043,0.778460870761251,120.89605734767,0.821441693376217,40.8709745485794,"Spoons"
"Spoons",0.804555978901947,"Spoons 5",132.752688172043,177.804569892473,0.779369343495734,120.89605734767,0.821441693376217,40.8709745485794,"Spoons"
"Spoons",0.804555978901947,"Spoons 2",132.752688172043,174.826075268817,0.792220146762099,120.89605734767,0.821441693376217,40.8709745485794,"Spoons"
"Spoons",0.804555978901947,"Spoons 3",132.752688172043,179.718548387097,0.791157669929816,120.89605734767,0.821441693376217,40.8709745485794,"Spoons"
