"PhotoName","Phase","Generic","Prompt","Precision"
"Erica_Kaas_1_1.jpg",1,1,"Spoons",0.6
"Erica_Kaas_1_1.jpg",1,1,"Spoons 2",0.6
"Erica_Kaas_1_1.jpg",1,1,"Spoons 3",0.8
"Erica_Kaas_1_1.jpg",1,1,"Spoons 4",0.6
"Erica_Kaas_1_1.jpg",1,1,"Spoons 5",0.8
"Erica_Kaas_1_1.jpg",1,1,"Range",0.8
"Erica_Kaas_1_1.jpg",1,1,"Range 2",0.8
"Erica_Kaas_1_1.jpg",1,1,"Range 3",0.8
"Erica_Kaas_1_1.jpg",1,1,"Range 4",0.8
"Erica_Kaas_1_1.jpg",1,1,"Range 5",0.6
"Erica_Kaas_1_1.jpg",1,1,"Point",0.6
"Erica_Kaas_1_1.jpg",1,1,"Point 2",0.6
"Erica_Kaas_1_1.jpg",1,1,"Point 3",0.6
"Erica_Kaas_1_1.jpg",1,1,"Point 4",0.6
"Erica_Kaas_1_1.jpg",1,1,"Point 5",0.6
"Erica_Kaas_2_1.jpg",1,1,"Spoons",0.857142857142857
"Erica_Kaas_2_1.jpg",1,1,"Spoons 2",0.857142857142857
"Erica_Kaas_2_1.jpg",1,1,"Spoons 3",0.857142857142857
"Erica_Kaas_2_1.jpg",1,1,"Spoons 4",0.857142857142857
"Erica_Kaas_2_1.jpg",1,1,"Spoons 5",0.857142857142857
"Erica_Kaas_2_1.jpg",1,1,"Range",0.857142857142857
"Erica_Kaas_2_1.jpg",1,1,"Range 2",0.857142857142857
"Erica_Kaas_2_1.jpg",1,1,"Range 3",0.857142857142857
"Erica_Kaas_2_1.jpg",1,1,"Range 4",0.857142857142857
"Erica_Kaas_2_1.jpg",1,1,"Range 5",0.857142857142857
"Erica_Kaas_2_1.jpg",1,1,"Point",0.857142857142857
"Erica_Kaas_2_1.jpg",1,1,"Point 2",0.857142857142857
"Erica_Kaas_2_1.jpg",1,1,"Point 3",0.857142857142857
"Erica_Kaas_2_1.jpg",1,1,"Point 4",0.857142857142857
"Erica_Kaas_2_1.jpg",1,1,"Point 5",0.857142857142857
"Erica_Kaas_2_2.jpg",1,1,"Spoons",0.75
"Erica_Kaas_2_2.jpg",1,1,"Spoons 2",0.8
"Erica_Kaas_2_2.jpg",1,1,"Spoons 3",0.8
"Erica_Kaas_2_2.jpg",1,1,"Spoons 4",1
"Erica_Kaas_2_2.jpg",1,1,"Spoons 5",1
"Erica_Kaas_2_2.jpg",1,1,"Range",0.8
"Erica_Kaas_2_2.jpg",1,1,"Range 2",0.8
"Erica_Kaas_2_2.jpg",1,1,"Range 3",0.8
"Erica_Kaas_2_2.jpg",1,1,"Range 4",0.8
"Erica_Kaas_2_2.jpg",1,1,"Range 5",0.8
"Erica_Kaas_2_2.jpg",1,1,"Point",0.8
"Erica_Kaas_2_2.jpg",1,1,"Point 2",0.8
"Erica_Kaas_2_2.jpg",1,1,"Point 3",0.8
"Erica_Kaas_2_2.jpg",1,1,"Point 4",1
"Erica_Kaas_2_2.jpg",1,1,"Point 5",1
"Erica_Kaas_2_3.jpg",1,1,"Spoons",NA
"Erica_Kaas_2_3.jpg",1,1,"Spoons 2",NA
"Erica_Kaas_2_3.jpg",1,1,"Spoons 3",NA
"Erica_Kaas_2_3.jpg",1,1,"Spoons 4",NA
"Erica_Kaas_2_3.jpg",1,1,"Spoons 5",NA
"Erica_Kaas_2_3.jpg",1,1,"Range",NA
"Erica_Kaas_2_3.jpg",1,1,"Range 2",NA
"Erica_Kaas_2_3.jpg",1,1,"Range 3",NA
"Erica_Kaas_2_3.jpg",1,1,"Range 4",NA
"Erica_Kaas_2_3.jpg",1,1,"Range 5",NA
"Erica_Kaas_2_3.jpg",1,1,"Point",NA
"Erica_Kaas_2_3.jpg",1,1,"Point 2",NA
"Erica_Kaas_2_3.jpg",1,1,"Point 3",NA
"Erica_Kaas_2_3.jpg",1,1,"Point 4",NA
"Erica_Kaas_2_3.jpg",1,1,"Point 5",NA
"Erica_Kaas_3_1.jpg",1,1,"Spoons",0.8
"Erica_Kaas_3_1.jpg",1,1,"Spoons 2",0.8
"Erica_Kaas_3_1.jpg",1,1,"Spoons 3",0.8
"Erica_Kaas_3_1.jpg",1,1,"Spoons 4",0.8
"Erica_Kaas_3_1.jpg",1,1,"Spoons 5",0.8
"Erica_Kaas_3_1.jpg",1,1,"Range",0.8
"Erica_Kaas_3_1.jpg",1,1,"Range 2",1
"Erica_Kaas_3_1.jpg",1,1,"Range 3",1
"Erica_Kaas_3_1.jpg",1,1,"Range 4",1
"Erica_Kaas_3_1.jpg",1,1,"Range 5",1
"Erica_Kaas_3_1.jpg",1,1,"Point",0.8
"Erica_Kaas_3_1.jpg",1,1,"Point 2",0.8
"Erica_Kaas_3_1.jpg",1,1,"Point 3",0.8
"Erica_Kaas_3_1.jpg",1,1,"Point 4",0.8
"Erica_Kaas_3_1.jpg",1,1,"Point 5",1
"Erica_Kaas_1_2.jpg",1,1,"Spoons",1
"Erica_Kaas_1_2.jpg",1,1,"Spoons 2",1
"Erica_Kaas_1_2.jpg",1,1,"Spoons 3",1
"Erica_Kaas_1_2.jpg",1,1,"Spoons 4",1
"Erica_Kaas_1_2.jpg",1,1,"Spoons 5",1
"Erica_Kaas_1_2.jpg",1,1,"Range",1
"Erica_Kaas_1_2.jpg",1,1,"Range 2",1
"Erica_Kaas_1_2.jpg",1,1,"Range 3",1
"Erica_Kaas_1_2.jpg",1,1,"Range 4",1
"Erica_Kaas_1_2.jpg",1,1,"Range 5",1
"Erica_Kaas_1_2.jpg",1,1,"Point",1
"Erica_Kaas_1_2.jpg",1,1,"Point 2",1
"Erica_Kaas_1_2.jpg",1,1,"Point 3",1
"Erica_Kaas_1_2.jpg",1,1,"Point 4",1
"Erica_Kaas_1_2.jpg",1,1,"Point 5",1
"Erica_Kaas_1_3.jpg",1,1,"Spoons",NA
"Erica_Kaas_1_3.jpg",1,1,"Spoons 2",NA
"Erica_Kaas_1_3.jpg",1,1,"Spoons 3",NA
"Erica_Kaas_1_3.jpg",1,1,"Spoons 4",NA
"Erica_Kaas_1_3.jpg",1,1,"Spoons 5",NA
"Erica_Kaas_1_3.jpg",1,1,"Range",NA
"Erica_Kaas_1_3.jpg",1,1,"Range 2",NA
"Erica_Kaas_1_3.jpg",1,1,"Range 3",NA
"Erica_Kaas_1_3.jpg",1,1,"Range 4",NA
"Erica_Kaas_1_3.jpg",1,1,"Range 5",NA
"Erica_Kaas_1_3.jpg",1,1,"Point",NA
"Erica_Kaas_1_3.jpg",1,1,"Point 2",NA
"Erica_Kaas_1_3.jpg",1,1,"Point 3",NA
"Erica_Kaas_1_3.jpg",1,1,"Point 4",NA
"Erica_Kaas_1_3.jpg",1,1,"Point 5",NA
"Erica_Kaas_3_2.jpg",1,1,"Spoons",0.666666666666667
"Erica_Kaas_3_2.jpg",1,1,"Spoons 2",0.666666666666667
"Erica_Kaas_3_2.jpg",1,1,"Spoons 3",0.666666666666667
"Erica_Kaas_3_2.jpg",1,1,"Spoons 4",0.666666666666667
"Erica_Kaas_3_2.jpg",1,1,"Spoons 5",0.666666666666667
"Erica_Kaas_3_2.jpg",1,1,"Range",0.666666666666667
"Erica_Kaas_3_2.jpg",1,1,"Range 2",0.666666666666667
"Erica_Kaas_3_2.jpg",1,1,"Range 3",0.666666666666667
"Erica_Kaas_3_2.jpg",1,1,"Range 4",0.666666666666667
"Erica_Kaas_3_2.jpg",1,1,"Range 5",0.666666666666667
"Erica_Kaas_3_2.jpg",1,1,"Point",0.666666666666667
"Erica_Kaas_3_2.jpg",1,1,"Point 2",0.666666666666667
"Erica_Kaas_3_2.jpg",1,1,"Point 3",0.666666666666667
"Erica_Kaas_3_2.jpg",1,1,"Point 4",0.666666666666667
"Erica_Kaas_3_2.jpg",1,1,"Point 5",0.666666666666667
"Erica_Kaas_3_3.jpg",1,1,"Spoons",NA
"Erica_Kaas_3_3.jpg",1,1,"Spoons 2",NA
"Erica_Kaas_3_3.jpg",1,1,"Spoons 3",NA
"Erica_Kaas_3_3.jpg",1,1,"Spoons 4",NA
"Erica_Kaas_3_3.jpg",1,1,"Spoons 5",NA
"Erica_Kaas_3_3.jpg",1,1,"Range",NA
"Erica_Kaas_3_3.jpg",1,1,"Range 2",NA
